date,Investigate Person,Larceny,Harassment,Property Lost,Fraud,Auto Theft,Counterfeiting,Confidence Games,Commercial Burglary,Vandalism,Other,Missing Person Reported,Police Service Incidents,License Plate Related Incidents,Residential Burglary,Simple Assault,Property Found,Larceny From Motor Vehicle,Medical Assistance,Motor Vehicle Accident Response,Aggravated Assault,Landlord/Tenant Disputes,Investigate Property,Auto Theft Recovery,Missing Person Located,Embezzlement,Violations,Criminal Harassment,Disorderly Conduct,Warrant Arrests,Other Burglary,Restraining Order Violations,Recovered Stolen Property,Service,Property Related Damage,Robbery,Towed,Evading Fare,License Violation,Verbal Disputes,Fire Related Reports,Firearm Violations,Search Warrants,Operating Under the Influence,Drug Violation,Prisoner Related Incidents,Firearm Discovery,Ballistics,Liquor Violation,Homicide,Offenses Against Child / Family,Harbor Related Incidents,Arson,Assembly or Gathering Violations,Bomb Hoax,Aircraft,Phone Call Complaints,Prostitution,HUMAN TRAFFICKING,HOME INVASION,Explosives,,city
2018-02-20,19,26,4,7,11,3,0,1,0,14,15,2,6,0,4,16,5,8,29,15,4,1,7,0,5,0,7,0,3,5,0,3,3,1,1,6,8,1,2,12,1,0,0,0,16,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-02-21,18,24,3,10,5,3,3,3,1,9,20,1,6,1,6,7,4,6,30,35,9,2,14,1,2,0,14,0,3,4,0,2,3,0,0,4,7,1,8,12,3,2,1,1,15,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-02-22,7,18,2,1,3,2,0,1,1,8,17,1,3,0,3,4,3,4,18,19,7,2,9,1,4,0,5,0,0,7,0,1,0,0,0,6,7,0,0,10,0,5,0,0,11,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Boston
2018-02-23,10,25,4,8,5,2,2,2,0,5,14,6,1,0,4,8,3,9,17,42,6,0,14,1,11,1,5,0,2,10,0,3,1,0,0,2,11,0,3,15,3,0,0,1,16,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,Boston
2018-02-24,22,22,3,10,3,2,1,0,2,12,11,2,3,0,0,12,2,10,24,29,3,1,8,1,3,0,12,0,0,7,1,0,1,1,0,4,9,1,2,11,2,4,0,0,19,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-02-25,13,19,2,9,1,4,0,3,0,11,6,3,1,1,2,11,1,14,15,32,5,0,9,1,5,0,3,2,0,6,0,0,2,0,0,1,9,0,2,10,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-02-26,14,23,2,9,3,1,0,2,0,10,22,2,6,0,3,20,5,4,36,28,9,1,8,1,3,0,6,1,4,6,0,1,1,0,3,5,6,1,0,11,2,1,0,2,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-02-27,21,14,2,5,5,4,2,2,0,11,20,2,4,0,0,13,5,10,33,22,8,0,7,1,5,0,7,0,4,4,0,2,1,0,0,3,10,0,0,10,2,2,1,0,12,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-02-28,16,18,2,10,10,4,0,0,0,6,23,2,4,1,2,14,0,2,26,26,9,1,7,1,5,1,5,0,4,2,0,1,2,0,0,2,8,0,3,15,5,3,0,0,19,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-03-01,13,27,7,11,7,5,1,4,0,6,29,0,4,3,6,7,2,8,15,29,4,1,14,1,2,0,6,1,3,4,0,1,1,0,0,1,6,1,0,17,1,1,1,0,23,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Boston
